locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
HGI48_RS00245	HGI48_RS00245	1	NZ_CP051429	62862	63674	-		ABC transporter permease subunit
HGI48_RS00250	HGI48_RS00250	1	NZ_CP051429	63691	64746	-		ABC transporter substrate-binding protein
HGI48_RS00255	HGI48_RS00255	1	NZ_CP051429	65457	66167	+		DUF3053 domain-containing protein
HGI48_RS00260	HGI48_RS00260	1	NZ_CP051429	66657	68564	+		PTS mannitol transporter subunit IICBA
HGI48_RS00265	HGI48_RS00265	1	NZ_CP051429	68640	69788	+		mannitol-1-phosphate 5-dehydrogenase
HGI48_RS00270	HGI48_RS00270	1	NZ_CP051429	69871	70485	+		MltR family transcriptional regulator
HGI48_RS00275	HGI48_RS00275	7	NZ_CP051429	70709	72052	-		IS1182 family transposase
HGI48_RS00280	HGI48_RS00280	1	NZ_CP051429	72218	74104	-		methyl-accepting chemotaxis protein
HGI48_RS00285	HGI48_RS00285	1	NZ_CP051429	74371	74997	-		superoxide dismutase [Mn]
HGI48_RS00290	HGI48_RS00290	1	NZ_CP051429	75270	76124	-		formate dehydrogenase accessory sulfurtransferase FdhD
HGI48_RS00295	HGI48_RS00295	1	NZ_CP051429	76244	76519	-		hypothetical protein
HGI48_RS00300	HGI48_RS00300	1	NZ_CP051429	76572	78110	+		aldehyde dehydrogenase
HGI48_RS00305	HGI48_RS00305	1	NZ_CP051429	78189	79649	-		xylulokinase
HGI48_RS00310	HGI48_RS00310	1	NZ_CP051429	79880	81199	-		xylose isomerase
HGI48_RS00315	HGI48_RS00315	1	NZ_CP051429	81833	82828	+		D-xylose ABC transporter substrate-binding protein
HGI48_RS00320	HGI48_RS00320	1	NZ_CP051429	82903	84444	+		xylose ABC transporter ATP-binding protein
HGI48_RS00325	HGI48_RS00325	1	NZ_CP051429	84422	85606	+		sugar ABC transporter permease
HGI48_RS00330	HGI48_RS00330	1	NZ_CP051429	85798	87057	+		XylR family transcriptional regulator
HGI48_RS00335	HGI48_RS00335	1	NZ_CP051429	87099	87674	-		DJ-1/PfpI family protein
HGI48_RS00340	HGI48_RS00340	1	NZ_CP051429	87841	88119	-		metal/formaldehyde-sensitive transcriptional repressor
HGI48_RS00345	HGI48_RS00345	1	NZ_CP051429	88219	89160	+		nickel/cobalt efflux protein RcnA
HGI48_RS00350	HGI48_RS00350	1	NZ_CP051429	89155	89355	-		hypothetical protein
HGI48_RS00355	HGI48_RS00355	1	NZ_CP051429	89475	90824	+		argininosuccinate synthase
HGI48_RS00360	HGI48_RS00360	1	NZ_CP051429	90921	91421	-		MarR family transcriptional regulator
HGI48_RS00365	HGI48_RS00365	1	NZ_CP051429	91780	92673	+		DMT family transporter
HGI48_RS00370	HGI48_RS00370	1	NZ_CP051429	93013	93963	+		pseudouridine-5'-phosphate glycosidase
HGI48_RS00375	HGI48_RS00375	1	NZ_CP051429	93975	94667	+		HAD-IA family hydrolase
HGI48_RS00380	HGI48_RS00380	1	NZ_CP051429	94923	99389	+		amino acid adenylation domain-containing protein
HGI48_RS00385	HGI48_RS00385	1	NZ_CP051429	99773	100705	+		3-oxoacyl-ACP synthase
HGI48_RS00390	HGI48_RS00390	1	NZ_CP051429	100719	100985	+		acyl carrier protein
HGI48_RS00395	HGI48_RS00395	1	NZ_CP051429	100975	101586	+		VfmB protein
HGI48_RS00400	HGI48_RS00400	7	NZ_CP051429	101698	101883	+		multidrug transporter
HGI48_RS00405	HGI48_RS00405	1	NZ_CP051429	101870	102958	+		alpha/beta hydrolase
HGI48_RS00410	HGI48_RS00410	1	NZ_CP051429	103020	103583	-		AraC family transcriptional regulator VfmE
HGI48_RS00415	HGI48_RS00415	1	NZ_CP051429	104231	104938	+		ABC transporter ATP-binding protein
HGI48_RS00420	HGI48_RS00420	1	NZ_CP051429	104943	107378	+		ABC transporter permease
HGI48_RS00425	HGI48_RS00425	1	NZ_CP051429	107526	108929	+		two-component system response regulator VfmH
HGI48_RS00430	HGI48_RS00430	1	NZ_CP051429	108922	110241	+		two-component system sensor histidine kinase VfmI
HGI48_RS00435	HGI48_RS00435	1	NZ_CP051429	110198	110968	+		4'-phosphopantetheinyl transferase superfamily protein
HGI48_RS00440	HGI48_RS00440	1	NZ_CP051429	110956	111603	-		DUF2807 domain-containing protein
HGI48_RS00445	HGI48_RS00445	1	NZ_CP051429	111885	112823	-		3-oxoacyl-ACP synthase
HGI48_RS00450	HGI48_RS00450	1	NZ_CP051429	112879	113676	-		hypothetical protein
HGI48_RS00455	HGI48_RS00455	1	NZ_CP051429	113720	114871	-		acyl-CoA/acyl-ACP dehydrogenase
HGI48_RS00460	HGI48_RS00460	1	NZ_CP051429	114972	115895	-		3-oxoacyl-ACP synthase
HGI48_RS00465	HGI48_RS00465	1	NZ_CP051429	115971	116483	-		hypothetical protein
HGI48_RS00470	HGI48_RS00470	1	NZ_CP051429	116485	117618	-		acyl-CoA dehydrogenase
HGI48_RS00475	HGI48_RS00475	1	NZ_CP051429	117615	118046	-		VOC family protein
HGI48_RS00480	HGI48_RS00480	1	NZ_CP051429	118144	119667	-		AMP-binding protein
HGI48_RS00485	HGI48_RS00485	1	NZ_CP051429	119648	121192	-		AMP-binding protein
HGI48_RS00490	HGI48_RS00490	1	NZ_CP051429	121189	121500	-		acyl carrier protein
HGI48_RS00495	HGI48_RS00495	1	NZ_CP051429	121506	123089	-		acyl--CoA ligase
HGI48_RS00500	HGI48_RS00500	1	NZ_CP051429	123099	124013	-		hypothetical protein
HGI48_RS00505	HGI48_RS00505	1	NZ_CP051429	124010	125353	-		type III PLP-dependent enzyme
HGI48_RS00510	HGI48_RS00510	1	NZ_CP051429	125346	125657	-		hypothetical protein
HGI48_RS00515	HGI48_RS00515	1	NZ_CP051429	126425	127177	+		LuxR family transcriptional regulator
HGI48_RS00520	HGI48_RS00520	1	NZ_CP051429	127143	127781	-		acyl-homoserine-lactone synthase
HGI48_RS00525	HGI48_RS00525	1	NZ_CP051429	128227	128475	+		DUF1471 domain-containing protein
HGI48_RS00530	HGI48_RS00530	1	NZ_CP051429	128611	128829	-		hypothetical protein
HGI48_RS00535	HGI48_RS00535	1	NZ_CP051429	128885	129238	-		helix-turn-helix transcriptional regulator
HGI48_RS00540	HGI48_RS00540	1	NZ_CP051429	129406	130269	-		YicC family protein
HGI48_RS00545	HGI48_RS00545	1	NZ_CP051429	130399	131307	-		LysR family transcriptional regulator
HGI48_RS00550	HGI48_RS00550	1	NZ_CP051429	131435	132517	-		dipeptidase
HGI48_RS00555	HGI48_RS00555	1	NZ_CP051429	132718	134313	+		ABC transporter substrate-binding protein
HGI48_RS00560	HGI48_RS00560	1	NZ_CP051429	134313	135323	+		ABC transporter permease
HGI48_RS00565	HGI48_RS00565	1	NZ_CP051429	135320	136222	+		ABC transporter permease
HGI48_RS00570	HGI48_RS00570	1	NZ_CP051429	136223	137053	+		ABC transporter ATP-binding protein
HGI48_RS00575	HGI48_RS00575	1	NZ_CP051429	137050	137790	+		ABC transporter ATP-binding protein
HGI48_RS00580	HGI48_RS00580	1	NZ_CP051429	137787	139298	+		beta-lactamase family protein
HGI48_RS00585	HGI48_RS00585	1	NZ_CP051429	139446	140771	-		sulfotransferase family 2 domain-containing protein
HGI48_RS00590	HGI48_RS00590	1	NZ_CP051429	141299	141736	+		hypothetical protein
HGI48_RS00595	HGI48_RS00595	1	NZ_CP051429	141866	142630	+		hypothetical protein
HGI48_RS00600	HGI48_RS00600	1	NZ_CP051429	142721	143434	+		ABC transporter ATP-binding protein
HGI48_RS00605	HGI48_RS00605	1	NZ_CP051429	143427	144647	+		ABC transporter permease
HGI48_RS00610	HGI48_RS00610	1	NZ_CP051429	144640	146121	+		TolC family protein
HGI48_RS00615	HGI48_RS00615	1	NZ_CP051429	146114	147376	+		HlyD family efflux transporter periplasmic adaptor subunit
HGI48_RS00620	HGI48_RS00620	1	NZ_CP051429	147358	148326	-		isoaspartyl peptidase/L-asparaginase
HGI48_RS00625	HGI48_RS00625	1	NZ_CP051429	148380	149201	-		M55 family metallopeptidase
HGI48_RS00630	HGI48_RS00630	1	NZ_CP051429	149234	150289	-		P1 family peptidase
HGI48_RS00635	HGI48_RS00635	1	NZ_CP051429	150301	151200	-		ABC transporter permease subunit
HGI48_RS00640	HGI48_RS00640	1	NZ_CP051429	151209	152129	-		ABC transporter permease subunit
HGI48_RS00645	HGI48_RS00645	1	NZ_CP051429	152147	153703	-		glutathione ABC transporter substrate-binding protein
HGI48_RS00650	HGI48_RS00650	1	NZ_CP051429	153897	155801	-		ABC transporter ATP-binding protein
HGI48_RS00655	HGI48_RS00655	1	NZ_CP051429	155822	156787	-		L-Ala-D/L-Glu epimerase
HGI48_RS00660	HGI48_RS00660	1	NZ_CP051429	156792	157799	-		DUF1611 domain-containing protein
HGI48_RS00665	HGI48_RS00665	1	NZ_CP051429	158048	158386	-		DUF202 domain-containing protein
HGI48_RS00670	HGI48_RS00670	1	NZ_CP051429	158393	158785	-		DUF202 domain-containing protein
HGI48_RS00675	HGI48_RS00675	1	NZ_CP051429	158964	159680	+		ribonuclease PH
HGI48_RS00680	HGI48_RS00680	1	NZ_CP051429	159792	160433	+		orotate phosphoribosyltransferase
HGI48_RS00685	HGI48_RS00685	1	NZ_CP051429	160499	161095	-		nucleoid occlusion factor SlmA
HGI48_RS00690	HGI48_RS00690	1	NZ_CP051429	161204	161662	-		dUTP diphosphatase
HGI48_RS00695	HGI48_RS00695	1	NZ_CP051429	161631	162887	-		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
HGI48_RS00700	HGI48_RS00700	1	NZ_CP051429	163079	163744	+		DNA repair protein RadC
HGI48_RS00705	HGI48_RS00705	1	NZ_CP051429	163983	164219	+		50S ribosomal protein L28
HGI48_RS00710	HGI48_RS00710	1	NZ_CP051429	164231	164398	+		50S ribosomal protein L33
HGI48_RS00715	HGI48_RS00715	1	NZ_CP051429	164474	165283	+		bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase
HGI48_RS00720	HGI48_RS00720	1	NZ_CP051429	165361	165840	-		pantetheine-phosphate adenylyltransferase
HGI48_RS00725	HGI48_RS00725	1	NZ_CP051429	165830	166636	-		glycosyltransferase
HGI48_RS00730	HGI48_RS00730	1	NZ_CP051429	166636	167913	-		lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
HGI48_RS00735	HGI48_RS00735	1	NZ_CP051429	168463	169587	+		glycosyltransferase family 4 protein
HGI48_RS00740	HGI48_RS00740	1	NZ_CP051429	169584	170690	+		glycosyltransferase family 9 protein
HGI48_RS00745	HGI48_RS00745	1	NZ_CP051429	170690	171898	+		O-antigen ligase family protein
HGI48_RS00750	HGI48_RS00750	1	NZ_CP051429	172034	173152	-		glycosyltransferase family 4 protein
HGI48_RS00755	HGI48_RS00755	1	NZ_CP051429	173149	174234	-		putative lipopolysaccharide heptosyltransferase III
HGI48_RS00760	HGI48_RS00760	1	NZ_CP051429	174264	175244	-		lipopolysaccharide heptosyltransferase RfaC
HGI48_RS00765	HGI48_RS00765	1	NZ_CP051429	175241	176293	-		ADP-heptose--LPS heptosyltransferase RfaF
HGI48_RS00770	HGI48_RS00770	1	NZ_CP051429	176324	177256	-		ADP-glyceromanno-heptose 6-epimerase
HGI48_RS00775	HGI48_RS00775	1	NZ_CP051429	177488	178408	-		divergent polysaccharide deacetylase family protein
HGI48_RS00780	HGI48_RS00780	1	NZ_CP051429	178465	179739	-		murein hydrolase activator EnvC
HGI48_RS00785	HGI48_RS00785	1	NZ_CP051429	179966	180397	+		rhodanese-like domain-containing protein
HGI48_RS00790	HGI48_RS00790	1	NZ_CP051429	180497	180967	+		protein-export chaperone SecB
HGI48_RS00795	HGI48_RS00795	1	NZ_CP051429	180967	181986	+		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
HGI48_RS00800	HGI48_RS00800	1	NZ_CP051429	182120	182941	+		serine O-acetyltransferase
HGI48_RS00805	HGI48_RS00805	1	NZ_CP051429	183340	183942	+		lipid IV(A) palmitoyltransferase PagP
HGI48_RS00810	HGI48_RS00810	1	NZ_CP051429	184053	184952	+		DMT family transporter
HGI48_RS00815	HGI48_RS00815	1	NZ_CP051429	184855	185793	-		HTH-type transcriptional regulator MetR
HGI48_RS00820	HGI48_RS00820	1	NZ_CP051429	185898	188165	+		5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
HGI48_RS00825	HGI48_RS00825	1	NZ_CP051429	188384	189211	-		dienelactone hydrolase family protein
HGI48_RS00830	HGI48_RS00830	1	NZ_CP051429	189501	190262	+		uridine phosphorylase
HGI48_RS00835	HGI48_RS00835	1	NZ_CP051429	190497	191279	+		tyrosine-protein phosphatase
HGI48_RS00840	HGI48_RS00840	1	NZ_CP051429	191607	192131	+		SocA family protein
HGI48_RS00845	HGI48_RS00845	1	NZ_CP051429	192138	192710	+		hypothetical protein
HGI48_RS00850	HGI48_RS00850	1	NZ_CP051429	192944	195583	-		phosphoenolpyruvate carboxylase
HGI48_RS00855	HGI48_RS00855	1	NZ_CP051429	195872	197251	-		PTS transporter subunit EIIC
HGI48_RS00860	HGI48_RS00860	1	NZ_CP051429	197559	198758	+		starvation-sensing protein RspA
HGI48_RS00865	HGI48_RS00865	1	NZ_CP051429	198783	199511	-		GntR family transcriptional regulator
HGI48_RS00870	HGI48_RS00870	1	NZ_CP051429	199572	200723	-		acetylornithine deacetylase
HGI48_RS00875	HGI48_RS00875	1	NZ_CP051429	200938	201942	+		N-acetyl-gamma-glutamyl-phosphate reductase
HGI48_RS00880	HGI48_RS00880	1	NZ_CP051429	201967	202740	+		acetylglutamate kinase
HGI48_RS00885	HGI48_RS00885	1	NZ_CP051429	202858	204231	+		argininosuccinate lyase
HGI48_RS00890	HGI48_RS00890	1	NZ_CP051429	204420	205952	+		DNA recombination protein RmuC
HGI48_RS00895	HGI48_RS00895	1	NZ_CP051429	206087	206842	+		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE
HGI48_RS00900	HGI48_RS00900	1	NZ_CP051429	206856	207464	+		SCP2 domain-containing protein
HGI48_RS00905	HGI48_RS00905	1	NZ_CP051429	207461	209098	+		ubiquinone biosynthesis regulatory protein kinase UbiB
HGI48_RS00910	HGI48_RS00910	1	NZ_CP051429	209196	209450	+		Sec-independent protein translocase subunit TatA
HGI48_RS00915	HGI48_RS00915	1	NZ_CP051429	209454	210026	+		Sec-independent protein translocase subunit TatB
HGI48_RS00920	HGI48_RS00920	1	NZ_CP051429	210030	210797	+		Sec-independent protein translocase subunit TatC
HGI48_RS00925	HGI48_RS00925	1	NZ_CP051429	210911	211705	+		3'-5' ssDNA/RNA exonuclease TatD
HGI48_RS00930	HGI48_RS00930	1	NZ_CP051429	211708	212730	+		porphobilinogen synthase
HGI48_RS00935	HGI48_RS00935	1	NZ_CP051429	212762	213250	-		transcription/translation regulatory transformer protein RfaH
HGI48_RS00940	HGI48_RS00940	1	NZ_CP051429	213463	214950	+		4-hydroxy-3-polyprenylbenzoate decarboxylase
HGI48_RS00945	HGI48_RS00945	1	NZ_CP051429	215000	215701	+		NAD(P)H-flavin reductase
HGI48_RS00950	HGI48_RS00950	1	NZ_CP051429	215798	217489	-		FAD-dependent oxidoreductase
HGI48_RS00955	HGI48_RS00955	1	NZ_CP051429	217628	217945	+		helix-turn-helix transcriptional regulator
HGI48_RS00960	HGI48_RS00960	1	NZ_CP051429	217982	218410	+		YeeE/YedE family protein
HGI48_RS00965	HGI48_RS00965	1	NZ_CP051429	218436	218864	+		YeeE/YedE family protein
HGI48_RS00970	HGI48_RS00970	1	NZ_CP051429	218917	220080	-		acetyl-CoA C-acyltransferase FadA
HGI48_RS00975	HGI48_RS00975	1	NZ_CP051429	220093	222282	-		fatty acid oxidation complex subunit alpha FadB
HGI48_RS00980	HGI48_RS00980	1	NZ_CP051429	222464	223795	+		Xaa-Pro dipeptidase
HGI48_RS00985	HGI48_RS00985	1	NZ_CP051429	223795	224409	+		IMPACT family protein
HGI48_RS00990	HGI48_RS00990	1	NZ_CP051429	224451	225902	+		Trk system potassium transporter TrkH
HGI48_RS00995	HGI48_RS00995	1	NZ_CP051429	225921	226460	+		menaquinone-dependent protoporphyrinogen IX dehydrogenase
HGI48_RS01000	HGI48_RS01000	2	NZ_CP051429	226834	228378	+		16S ribosomal RNA
HGI48_RS01005	HGI48_RS01005	5	NZ_CP051429	228466	228541	+		tRNA-Glu
HGI48_RS01010	HGI48_RS01010	2	NZ_CP051429	228736	231661	+		23S ribosomal RNA
HGI48_RS01015	HGI48_RS01015	2	NZ_CP051429	231783	231898	+		5S ribosomal RNA
HGI48_RS01020	HGI48_RS01020	1	NZ_CP051429	232181	233218	+		UDP-N-acetylmuramate dehydrogenase
HGI48_RS01025	HGI48_RS01025	1	NZ_CP051429	233215	234174	+		bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
HGI48_RS01030	HGI48_RS01030	1	NZ_CP051429	234201	235151	-		type I pantothenate kinase
HGI48_RS01035	HGI48_RS01035	5	NZ_CP051429	235835	235910	+		tRNA-Thr
HGI48_RS01040	HGI48_RS01040	5	NZ_CP051429	235927	236011	+		tRNA-Tyr
HGI48_RS01045	HGI48_RS01045	5	NZ_CP051429	236147	236221	+		tRNA-Gly
HGI48_RS01050	HGI48_RS01050	5	NZ_CP051429	236231	236306	+		tRNA-Thr
HGI48_RS01055	HGI48_RS01055	7	NZ_CP051429	236413	237598	+		elongation factor Tu
HGI48_RS01060	HGI48_RS01060	1	NZ_CP051429	237833	238216	+		preprotein translocase subunit SecE
HGI48_RS01065	HGI48_RS01065	1	NZ_CP051429	238218	238763	+		transcription termination/antitermination protein NusG
HGI48_RS01070	HGI48_RS01070	1	NZ_CP051429	238915	239343	+		50S ribosomal protein L11
HGI48_RS01075	HGI48_RS01075	1	NZ_CP051429	239347	240051	+		50S ribosomal protein L1
HGI48_RS01080	HGI48_RS01080	1	NZ_CP051429	240369	240866	+		50S ribosomal protein L10
HGI48_RS01085	HGI48_RS01085	1	NZ_CP051429	240933	241298	+		50S ribosomal protein L7/L12
HGI48_RS01090	HGI48_RS01090	1	NZ_CP051429	241622	245650	+		DNA-directed RNA polymerase subunit beta
HGI48_RS01095	HGI48_RS01095	1	NZ_CP051429	245758	249981	+		DNA-directed RNA polymerase subunit beta'
HGI48_RS01100	HGI48_RS01100	1	NZ_CP051429	250302	251399	+		DUF1176 domain-containing protein
HGI48_RS01105	HGI48_RS01105	1	NZ_CP051429	251676	251858	-		DUF1127 domain-containing protein
HGI48_RS01110	HGI48_RS01110	1	NZ_CP051429	252083	252268	-		DUF1127 domain-containing protein
HGI48_RS01115	HGI48_RS01115	1	NZ_CP051429	252428	253864	+		PLP-dependent aminotransferase family protein
HGI48_RS01120	HGI48_RS01120	1	NZ_CP051429	253876	254643	-		molybdopterin-dependent oxidoreductase
HGI48_RS01125	HGI48_RS01125	1	NZ_CP051429	254636	255238	-		cytochrome b/b6 domain-containing protein
HGI48_RS01130	HGI48_RS01130	1	NZ_CP051429	255251	255874	-		hypothetical protein
HGI48_RS01135	HGI48_RS01135	1	NZ_CP051429	256031	256702	+		heavy metal response regulator transcription factor
HGI48_RS01140	HGI48_RS01140	1	NZ_CP051429	256699	258132	+		heavy metal sensor histidine kinase
HGI48_RS01145	HGI48_RS01145	1	NZ_CP051429	258170	259315	-		2-iminoacetate synthase ThiH
HGI48_RS01150	HGI48_RS01150	1	NZ_CP051429	259315	260094	-		thiazole synthase
HGI48_RS01155	HGI48_RS01155	1	NZ_CP051429	260096	260296	-		sulfur carrier protein ThiS
HGI48_RS01160	HGI48_RS01160	1	NZ_CP051429	260293	261045	-		HesA/MoeB/ThiF family protein
HGI48_RS01165	HGI48_RS01165	1	NZ_CP051429	261047	261682	-		thiamine phosphate synthase
HGI48_RS01170	HGI48_RS01170	1	NZ_CP051429	261682	263553	-		phosphomethylpyrimidine synthase ThiC
HGI48_RS01175	HGI48_RS01175	1	NZ_CP051429	263985	264434	-		sigma D regulator
HGI48_RS01180	HGI48_RS01180	1	NZ_CP051429	264540	265313	+		NAD(+) diphosphatase
HGI48_RS01185	HGI48_RS01185	1	NZ_CP051429	265369	266442	+		uroporphyrinogen decarboxylase
HGI48_RS01190	HGI48_RS01190	1	NZ_CP051429	266442	267116	+		deoxyribonuclease V
HGI48_RS01195	HGI48_RS01195	1	NZ_CP051429	267208	267798	+		YjaG family protein
HGI48_RS01200	HGI48_RS01200	1	NZ_CP051429	268110	268382	+		DNA-binding protein HU-alpha
HGI48_RS01205	HGI48_RS01205	1	NZ_CP051429	268387	269127	+		DUF1481 domain-containing protein
HGI48_RS01210	HGI48_RS01210	1	NZ_CP051429	269210	270499	-		phosphoribosylamine--glycine ligase
HGI48_RS01215	HGI48_RS01215	1	NZ_CP051429	270515	272104	-		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
HGI48_RS01220	HGI48_RS01220	2	NZ_CP051429	272704	274253	+		16S ribosomal RNA
HGI48_RS01225	HGI48_RS01225	5	NZ_CP051429	274341	274416	+		tRNA-Glu
HGI48_RS01230	HGI48_RS01230	2	NZ_CP051429	274611	277532	+		23S ribosomal RNA
HGI48_RS01235	HGI48_RS01235	2	NZ_CP051429	277653	277768	+		5S ribosomal RNA
HGI48_RS01240	HGI48_RS01240	1	NZ_CP051429	278070	278831	-		amino acid ABC transporter ATP-binding protein
HGI48_RS01245	HGI48_RS01245	1	NZ_CP051429	278840	279934	-		amino acid ABC transporter permease
HGI48_RS01250	HGI48_RS01250	1	NZ_CP051429	279944	281122	-		amino acid ABC transporter permease
HGI48_RS01255	HGI48_RS01255	1	NZ_CP051429	281194	282219	-		amino acid ABC transporter substrate-binding protein
HGI48_RS01260	HGI48_RS01260	1	NZ_CP051429	282739	283404	-		amino acid ABC transporter permease
HGI48_RS01265	HGI48_RS01265	1	NZ_CP051429	283430	284200	-		amino acid ABC transporter substrate-binding protein
HGI48_RS01270	HGI48_RS01270	1	NZ_CP051429	284445	285587	+		endonuclease
HGI48_RS01275	HGI48_RS01275	1	NZ_CP051429	285670	286563	-		LysR family transcriptional regulator
HGI48_RS01280	HGI48_RS01280	1	NZ_CP051429	286875	287270	+		cupin domain-containing protein
HGI48_RS01285	HGI48_RS01285	1	NZ_CP051429	287516	287857	-		DUF1232 domain-containing protein
HGI48_RS01290	HGI48_RS01290	1	NZ_CP051429	288052	288348	-		DNA-binding transcriptional regulator Fis
HGI48_RS01295	HGI48_RS01295	1	NZ_CP051429	288372	289337	-		tRNA dihydrouridine synthase DusB
