"Var1","Freq","desc","COG","group"
"HGI48_RS03670",2,"L,D-transpeptidase family protein","cell wall/membrane/envelope biogenesis","group_01263"
"HGI48_RS04315",1,"outer membrane protein assembly factor BamE","cell wall/membrane/envelope biogenesis","group_02971"
"HGI48_RS05105",5,"bifunctional uridylyltransferase/uridylyl-removing protein GlnD","signal transduction mechanisms","group_00072"
"HGI48_RS05605",1,"tRNA 4-thiouridine(8) synthase ThiI","translation, ribosomal structure, and biogenesis","group_00534"
"HGI48_RS05695",6,"endopeptidase La","postranslational modification, protein turnover, chaperones","group_00126"
"HGI48_RS05730",6,"SmdA family multidrug ABC transporter permease/ATP-binding protein","defense mechanisms","group_00307"
"HGI48_RS05735",6,"SmdB family multidrug efflux ABC transporter permease/ATP-binding protein","defense mechanisms","group_00304"
"HGI48_RS06070",1,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism","group_01110"
"HGI48_RS06095",1,"M48 family metallopeptidase","general function prediction only","group_00574"
"HGI48_RS06120",2,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism","group_02061"
"HGI48_RS06145",1,"M15 family metallopeptidase","cell wall/membrane/envelope biogenesis","group_02215"
"HGI48_RS06345",6,"ROK family protein",NA,"group_03555"
"HGI48_RS06350",3,"N-acetylglucosamine-6-phosphate deacetylase","carbohydrate transport and metabolism","group_00966"
"HGI48_RS06400",2,"alpha-D-glucose phosphate-specific phosphoglucomutase","carbohydrate transport and metabolism","group_00327"
"HGI48_RS06470",1,"5-oxoprolinase subunit PxpA","general function prediction only","group_02051"
"HGI48_RS06495",4,"succinate dehydrogenase iron-sulfur subunit","energy production and conversions","group_01975"
"HGI48_RS06645",1,"molybdenum-dependent transcriptional regulator","transcription","group_02005"
"HGI48_RS06700",1,"iron-sulfur cluster carrier protein ApbC","cell cycle control, cell division, chromosome partitioning","group_01037"
"HGI48_RS06715",6,"outer membrane assembly protein AsmA","cell wall/membrane/envelope biogenesis","group_00296"
"HGI48_RS06830",1,"GalU regulator GalF","cell wall/membrane/envelope biogenesis","group_01640"
"HGI48_RS06840",1,"NADP-dependent phosphogluconate dehydrogenase","carbohydrate transport and metabolism","group_00594"
"HGI48_RS07030",4,"methyltransferase domain-containing protein",NA,"group_03601"
"HGI48_RS07925",1,"TetR/AcrR family transcriptional regulator","transcription","group_02442"
"HGI48_RS08130",6,"efflux RND transporter periplasmic adaptor subunit","defense mechanisms","group_01112"
"HGI48_RS08135",6,"DHA2 family efflux MFS transporter permease subunit","none","group_00471"
"HGI48_RS08375",1,"DNA phosphorothioation system sulfurtransferase DndC","none","group_03349"
"HGI48_RS08645",6,"NAD-dependent malic enzyme","energy production and conversions","group_00300"
"HGI48_RS09155",6,"DUF3413 domain-containing protein","cell wall/membrane/envelope biogenesis","group_00270"
"HGI48_RS09395",4,"outer membrane permeability protein SanA","cell wall/membrane/envelope biogenesis","group_01980"
"HGI48_RS09575",3,"ATP-dependent Clp protease ATP-binding subunit ClpA","postranslational modification, protein turnover, chaperones","group_00137"
"HGI48_RS09600",6,"thioredoxin-disulfide reductase","postranslational modification, protein turnover, chaperones","group_01352"
"HGI48_RS09730",3,"imidazole glycerol phosphate synthase subunit HisH","amino acid transport and metabolism","group_02412"
"HGI48_RS09835",2,"DUF496 family protein","function unknown","group_02996"
"HGI48_RS10075",6,"MAPEG family protein","function unknown","group_02906"
"HGI48_RS10160",1,"MurR/RpiR family transcriptional regulator","transcription","group_01687"
"HGI48_RS10350",6,"two-component system response regulator RssB",NA,"group_03579"
"HGI48_RS10460",5,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"HGI48_RS10465",6,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"HGI48_RS10470",6,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism","group_00740"
"HGI48_RS10475",4,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism","group_01328"
"HGI48_RS10480",1,"gamma-glutamyl-gamma-aminobutyrate hydrolase family protein","coenzyme transport and metabolism","group_02389"
"HGI48_RS10485",6,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"HGI48_RS10740",1,"TetR/AcrR family transcriptional regulator","transcription","group_03420"
"HGI48_RS10920",6,"DUF1471 domain-containing protein","none","group_01537"
"HGI48_RS11220",6,"disulfide bond formation protein DsbB","postranslational modification, protein turnover, chaperones","group_02478"
"HGI48_RS11245",2,"septum site-determining protein MinD","cell cycle control, cell division, chromosome partitioning","group_01842"
"HGI48_RS12580",1,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism","group_02019"
"HGI48_RS12650",6,"transcriptional regulator SlyA","transcription","group_02767"
"HGI48_RS12925",2,"quinone-dependent dihydroorotate dehydrogenase","nucleotide transport and metabolism","group_01246"
"HGI48_RS13165",1,"endolytic transglycosylase MltG","cell cycle control, cell division, chromosome partitioning","group_01220"
"HGI48_RS13275",6,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis","group_00097"
"HGI48_RS13280",6,"glucan biosynthesis protein G","cell wall/membrane/envelope biogenesis","group_00352"
"HGI48_RS13620",1,"protein DsrB","none","group_03255"
"HGI48_RS13800",6,"UvrY/SirA/GacA family response regulator transcription factor","transcription","group_02245"
"HGI48_RS13905",5,"hypothetical protein","none","group_03451"
"HGI48_RS13910",2,"hypothetical protein","none","group_03446"
"HGI48_RS13915",6,"hypothetical protein","none","group_03355"
"HGI48_RS13920",6,"deoxyribonuclease","none","group_03391"
"HGI48_RS14260",3,"NADH-quinone oxidoreductase subunit L","inorganic ion transport and metabolism","group_00248"
"HGI48_RS14315",1,"transcriptional regulator LrhA","transcription","group_01499"
"HGI48_RS14350",2,"acetate kinase","energy production and conversions","group_00857"
"HGI48_RS14355",2,"phosphate acetyltransferase","energy production and conversions","group_00166"
"HGI48_RS14405",4,"amidophosphoribosyltransferase","nucleotide transport and metabolism","group_00412"
"HGI48_RS14445",1,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"HGI48_RS15190",1,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism","group_01064"
"HGI48_RS15225",2,"polyphosphate kinase 1","inorganic ion transport and metabolism","group_00176"
"HGI48_RS15730",2,"nitrogen regulatory protein P-II","signal transduction mechanisms","group_02992"
"HGI48_RS15770",5,"tryptophan synthase subunit beta","none","group_03010"
"HGI48_RS15850",5,"RNA polymerase sigma factor RpoE","transcription","group_02448"
"HGI48_RS16235",2,"23S rRNA pseudouridine(1911/1915/1917) synthase RluD","translation, ribosomal structure, and biogenesis","group_01317"
"HGI48_RS16620",1,"YfiR family protein","none","group_02593"
"HGI48_RS16710",1,"alanine--glyoxylate aminotransferase family protein","nucleotide transport and metabolism","group_00738"
"HGI48_RS16980",5,"DUF3561 family protein","none","group_03037"
"HGI48_RS17080",6,"two-component sensor histidine kinase BarA","signal transduction mechanisms","group_00083"
"HGI48_RS17185",1,"glycerol-3-phosphate 1-O-acyltransferase PlsY","lipid transport and metabolism","group_02264"
"HGI48_RS17565",5,"alanine racemase","cell wall/membrane/envelope biogenesis","group_01156"
"HGI48_RS18125",1,"acetolactate synthase small subunit","none","group_03057"
"HGI48_RS18170",6,"RNA polymerase-associated protein RapA","transcription","group_00065"
"HGI48_RS18195",3,"4-hydroxythreonine-4-phosphate dehydrogenase PdxA","coenzyme transport and metabolism","group_01344"
"HGI48_RS18375",5,"inosine/xanthosine triphosphatase","nucleotide transport and metabolism","group_02514"
"HGI48_RS18545",6,"RNA chaperone Hfq","signal transduction mechanisms","group_03194"
"HGI48_RS18745",2,"MarR family transcriptional regulator","transcription","group_02750"
"HGI48_RS19030",4,"tRNA-Gly",NA,NA
"HGI48_RS19100",6,"glucose-6-phosphate isomerase","carbohydrate transport and metabolism","group_00314"
"HGI48_RS20070",2,"class I adenylate cyclase","nucleotide transport and metabolism","group_00081"
"HGI48_RS20375",6,"glutamate racemase","cell wall/membrane/envelope biogenesis","group_01703"
"HGI48_RS20395",1,"HTH-type transcriptional repressor FabR","transcription","group_02326"
"HGI48_RS20595",3,"envelope stress response regulator transcription factor CpxR","transcription","group_02139"
"HGI48_RS21205",1,"fatty acid biosynthesis protein FabY","general function prediction only","group_01372"
"HGI48_RS21230",2,"nitrogen regulation protein NR(II)","signal transduction mechanisms","group_01150"
"HGI48_RS21235",6,"nitrogen regulation protein NR(I)","signal transduction mechanisms","group_00527"
"HGI48_RS21265",4,"thiol:disulfide interchange protein DsbA","none","group_02319"
"HGI48_RS21355",6,"low affinity potassium transporter Kup","inorganic ion transport and metabolism","group_00240"
