"Var1","Freq","desc","COG"
"HGI48_RS12865",2,"AI-2E family transporter YdiK","general function prediction only"
"HGI48_RS12900",1,"membrane integrity-associated transporter subunit PqiA","function unknown"
"HGI48_RS12925",16,"quinone-dependent dihydroorotate dehydrogenase","nucleotide transport and metabolism"
"HGI48_RS13040",1,"hypothetical protein","none"
"HGI48_RS13200",1,"phosphate acyltransferase PlsX","lipid transport and metabolism"
"HGI48_RS13235",16,"dihydroorotase","nucleotide transport and metabolism"
"HGI48_RS13275",17,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis"
"HGI48_RS13280",17,"glucan biosynthesis protein G","cell wall/membrane/envelope biogenesis"
"HGI48_RS13390",6,"flagellar filament capping protein FliD","cell motility"
"HGI48_RS13505",1,"flagellar basal body rod protein FlgF","cell motility"
"HGI48_RS13515",1,"flagellar hook assembly protein FlgD","cell motility"
"HGI48_RS13595",1,"flagellar motor protein MotB","cell motility"
"HGI48_RS13600",1,"flagellar motor stator protein MotA","cell motility"
"HGI48_RS13605",15,"flagellar transcriptional regulator FlhC","none"
"HGI48_RS13610",14,"flagellar transcriptional regulator FlhD","none"
"HGI48_RS13905",8,"hypothetical protein","none"
"HGI48_RS13910",4,"hypothetical protein","none"
"HGI48_RS13915",8,"hypothetical protein","none"
"HGI48_RS13920",12,"deoxyribonuclease","none"
"HGI48_RS13925",2,"hypothetical protein","none"
"HGI48_RS13975",2,"DNA cytosine methyltransferase",NA
"HGI48_RS14260",1,"NADH-quinone oxidoreductase subunit L","inorganic ion transport and metabolism"
"HGI48_RS14350",3,"acetate kinase","energy production and conversions"
"HGI48_RS14355",1,"phosphate acetyltransferase","energy production and conversions"
"HGI48_RS14405",16,"amidophosphoribosyltransferase","nucleotide transport and metabolism"
"HGI48_RS15010",11,"beta-galactosidase","carbohydrate transport and metabolism"
"HGI48_RS15015",1,"glycosyl hydrolase 53 family protein","carbohydrate transport and metabolism"
"HGI48_RS15190",10,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism"
"HGI48_RS15535",17,"IMP dehydrogenase","nucleotide transport and metabolism"
"HGI48_RS15750",17,"phosphoribosylformylglycinamidine synthase","nucleotide transport and metabolism"
"HGI48_RS15865",2,"ATP-dependent RNA helicase SrmB","replication, recombination, and repair"
"HGI48_RS16250",1,"bifunctional chorismate mutase/prephenate dehydratase","amino acid transport and metabolism"
"HGI48_RS16300",1,"S-ribosylhomocysteine lyase","signal transduction mechanisms"
"HGI48_RS16450",1,"GTPase","general function prediction only"
"HGI48_RS17000",1,"uroporphyrinogen-III C-methyltransferase","coenzyme transport and metabolism"
"HGI48_RS17225",1,"HlyC/CorC family transporter","general function prediction only"
"HGI48_RS17565",15,"alanine racemase","cell wall/membrane/envelope biogenesis"
"HGI48_RS17775",8,"D-threonate 4-phosphate dehydrogenase","coenzyme transport and metabolism"
"HGI48_RS18030",4,"catabolite repressor/activator","transcription"
"HGI48_RS18055",2,"2-isopropylmalate synthase","amino acid transport and metabolism"
"HGI48_RS18060",5,"3-isopropylmalate dehydrogenase","energy production and conversions"
"HGI48_RS18065",10,"3-isopropylmalate dehydratase large subunit","amino acid transport and metabolism"
"HGI48_RS18070",7,"3-isopropylmalate dehydratase small subunit","amino acid transport and metabolism"
"HGI48_RS18205",1,"Co2+/Mg2+ efflux protein ApaG","inorganic ion transport and metabolism"
"HGI48_RS18240",12,"carbamoyl-phosphate synthase large subunit","nucleotide transport and metabolism"
"HGI48_RS18245",13,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","nucleotide transport and metabolism"
"HGI48_RS18400",15,"phosphoglycerate dehydrogenase","general function prediction only"
"HGI48_RS18535",1,"FtsH protease activity modulator HflK","postranslational modification, protein turnover, chaperones"
"HGI48_RS18545",7,"RNA chaperone Hfq","signal transduction mechanisms"
"HGI48_RS18585",1,"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","cell wall/membrane/envelope biogenesis"
"HGI48_RS18590",1,"phosphomannomutase CpsG","carbohydrate transport and metabolism"
"HGI48_RS18600",8,"ABC transporter permease","cell wall/membrane/envelope biogenesis"
"HGI48_RS18605",4,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis"
"HGI48_RS18610",3,"GDP-L-fucose synthase","cell wall/membrane/envelope biogenesis"
"HGI48_RS18620",1,"glycosyltransferase","cell wall/membrane/envelope biogenesis"
"HGI48_RS18835",1,"nitrogen fixation protein NifM","postranslational modification, protein turnover, chaperones"
"HGI48_RS18860",1,"Fe-S cluster assembly protein NifU","postranslational modification, protein turnover, chaperones"
"HGI48_RS19090",2,"EF-P beta-lysylation protein EpmB","amino acid transport and metabolism"
"HGI48_RS19155",1,"homoserine O-succinyltransferase","amino acid transport and metabolism"
"HGI48_RS19490",1,"FKBP-type peptidyl-prolyl cis-trans isomerase","postranslational modification, protein turnover, chaperones"
"HGI48_RS19935",1,"carbapenem biosynthesis protein CpmH",NA
"HGI48_RS19940",8,"SUMF1/EgtB/PvdO family nonheme iron enzyme",NA
"HGI48_RS20035",4,"DNA helicase II","replication, recombination, and repair"
"HGI48_RS20045",7,"tyrosine recombinase XerC","replication, recombination, and repair"
"HGI48_RS20070",2,"class I adenylate cyclase","nucleotide transport and metabolism"
"HGI48_RS20225",1,"ATP-dependent RNA helicase RhlB","replication, recombination, and repair"
"HGI48_RS20230",6,"exopolyphosphatase","signal transduction mechanisms"
"HGI48_RS20250",1,"peptidylprolyl isomerase","none"
"HGI48_RS20270",2,"ketol-acid reductoisomerase","coenzyme transport and metabolism"
"HGI48_RS20375",1,"glutamate racemase","cell wall/membrane/envelope biogenesis"
"HGI48_RS20465",2,"1,4-dihydroxy-2-naphthoate polyprenyltransferase","coenzyme transport and metabolism"
"HGI48_RS20560",12,"methyltransferase domain-containing protein",NA
"HGI48_RS20595",2,"envelope stress response regulator transcription factor CpxR","transcription"
"HGI48_RS20600",1,"envelope stress sensor histidine kinase CpxA","signal transduction mechanisms"
"HGI48_RS20810",1,"2-dehydro-3-deoxygluconokinase","carbohydrate transport and metabolism"
"HGI48_RS20965",1,"heat shock chaperone IbpB","postranslational modification, protein turnover, chaperones"
"HGI48_RS21020",4,"inorganic phosphate transporter PitA","none"
"HGI48_RS21220",6,"ribosome-dependent GTPase TypA","signal transduction mechanisms"
"HGI48_RS21235",8,"nitrogen regulation protein NR(I)","signal transduction mechanisms"
"HGI48_RS21265",1,"thiol:disulfide interchange protein DsbA","none"
"HGI48_RS21310",7,"ribose operon transcriptional repressor RbsR","transcription"
"HGI48_RS21315",5,"ribokinase","carbohydrate transport and metabolism"
