"Var1","Freq","desc","COG","group"
"DDA3937_RS13435",3,"flagellar hook-associated protein FlgK","cell motility","group_00303"
"DDA3937_RS13550",3,"flagellar motor protein MotB","cell motility","group_01162"
"DDA3937_RS13555",3,"flagellar motor stator protein MotA","cell motility","group_01704"
"DDA3937_RS13935",3,"hypothetical protein","none","group_03451"
"DDA3937_RS13945",3,"hypothetical protein","none","group_03355"
"DDA3937_RS14475",5,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"DDA3937_RS14950",3,"hypothetical protein",NA,NA
"DDA3937_RS15150",1,"polyphosphate kinase 1","inorganic ion transport and metabolism","group_00176"
"DDA3937_RS15420",2,"IMP dehydrogenase","nucleotide transport and metabolism","group_00559"
"DDA3937_RS15720",5,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism","group_02113"
"DDA3937_RS15780",1,"ATP-dependent RNA helicase SrmB","replication, recombination, and repair","group_00762"
"DDA3937_RS16110",1,"23S rRNA pseudouridine(1911/1915/1917) synthase RluD","translation, ribosomal structure, and biogenesis","group_01317"
"DDA3937_RS16755",2,"transcriptional repressor MprA","transcription","group_02590"
"DDA3937_RS17135",2,"glycerol-3-phosphate 1-O-acyltransferase PlsY","lipid transport and metabolism","group_02264"
"DDA3937_RS17155",2,"translocation/assembly module TamB","intracellular trafficking, secretion, and vesicular transport","group_00040"
"DDA3937_RS17160",2,"outer membrane protein assembly factor","cell wall/membrane/envelope biogenesis","group_00283"
"DDA3937_RS17545",1,"aspartate/tyrosine/aromatic aminotransferase","amino acid transport and metabolism","group_00921"
"DDA3937_RS18235",3,"RNA polymerase-associated protein RapA","transcription","group_00065"
"DDA3937_RS18610",2,"RNA chaperone Hfq","signal transduction mechanisms","group_03194"
"DDA3937_RS18680",2,"GDP-L-fucose synthase","cell wall/membrane/envelope biogenesis","group_01353"
"DDA3937_RS19140",2,"Trk system potassium transporter TrkA","inorganic ion transport and metabolism","group_00637"
"DDA3937_RS19615",3,"two-component system sensor histidine kinase EnvZ","signal transduction mechanisms","group_00620"
"DDA3937_RS19620",1,"two-component system response regulator OmpR","transcription","group_02033"
"DDA3937_RS19880",3,"DNA helicase II","replication, recombination, and repair","group_00146"
"DDA3937_RS20115",3,"trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase","amino acid transport and metabolism","group_00033"
"DDA3937_RS20120",1,"sodium/proline symporter PutP","amino acid transport and metabolism","group_00489"
"DDA3937_RS20235",1,"Trk system potassium transporter TrkH","inorganic ion transport and metabolism","group_00509"
"DDA3937_RS20470",1,"glycosyltransferase family 9 protein","cell wall/membrane/envelope biogenesis","group_01004"
"DDA3937_RS22360",3,"deoxyribonuclease","none","group_03391"
"DDA3937_RS23265",3,"hypothetical protein","none","group_03413"
