"Var1","Freq","desc","COG","group"
"DDA3937_RS08595",3,"iron ABC transporter permease","inorganic ion transport and metabolism","group_00453"
"DDA3937_RS08600",4,"ABC transporter ATP-binding protein","amino acid transport and metabolism","group_01331"
"DDA3937_RS08645",2,"ATP-dependent RNA helicase RhlE","replication, recombination, and repair","group_00831"
"DDA3937_RS08725",1,"class IV adenylate cyclase","signal transduction mechanisms","group_02588"
"DDA3937_RS09550",1,"cold shock-like protein CspD","transcription","group_03180"
"DDA3937_RS09590",6,"leucine-responsive transcriptional regulator Lrp","transcription","group_02605"
"DDA3937_RS09670",2,"3-phosphoserine/phosphohydroxythreonine transaminase","coenzyme transport and metabolism","group_01070"
"DDA3937_RS09705",6,"bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE","amino acid transport and metabolism","group_02328"
"DDA3937_RS09710",6,"imidazole glycerol phosphate synthase subunit HisF","amino acid transport and metabolism","group_01851"
"DDA3937_RS09715",1,"1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase","amino acid transport and metabolism","group_02025"
"DDA3937_RS09720",6,"imidazole glycerol phosphate synthase subunit HisH","amino acid transport and metabolism","group_02412"
"DDA3937_RS09725",6,"bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB","amino acid transport and metabolism","group_01027"
"DDA3937_RS09730",6,"histidinol-phosphate transaminase","amino acid transport and metabolism","group_01174"
"DDA3937_RS09735",6,"histidinol dehydrogenase","amino acid transport and metabolism","group_00793"
"DDA3937_RS10060",1,"dihydroneopterin triphosphate diphosphatase","defense mechanisms","group_02746"
"DDA3937_RS10090",2,"zinc ABC transporter permease subunit ZnuB","inorganic ion transport and metabolism","group_02105"
"DDA3937_RS10095",2,"zinc ABC transporter ATP-binding protein ZnuC","inorganic ion transport and metabolism","group_01923"
"DDA3937_RS10325",6,"formyltetrahydrofolate deformylase","nucleotide transport and metabolism","group_01662"
"DDA3937_RS10340",6,"two-component system response regulator RssB",NA,NA
"DDA3937_RS10375",3,"oligopeptide ABC transporter substrate-binding protein OppA","amino acid transport and metabolism","group_00341"
"DDA3937_RS10380",3,"oligopeptide ABC transporter permease OppB","inorganic ion transport and metabolism","group_01532"
"DDA3937_RS10385",2,"oligopeptide ABC transporter permease OppC","inorganic ion transport and metabolism","group_01629"
"DDA3937_RS10390",3,"ABC transporter ATP-binding protein","inorganic ion transport and metabolism","group_01327"
"DDA3937_RS10460",2,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"DDA3937_RS10465",3,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"DDA3937_RS10470",3,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism","group_00740"
"DDA3937_RS10475",6,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism","group_01328"
"DDA3937_RS10485",5,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"DDA3937_RS10500",3,"23S rRNA pseudouridine(2605) synthase RluB","translation, ribosomal structure, and biogenesis","group_01568"
"DDA3937_RS10560",1,"electron transport complex subunit RsxD","energy production and conversions","group_01169"
"DDA3937_RS10570",4,"electron transport complex subunit RsxB","energy production and conversions","group_02536"
"DDA3937_RS10775",4,"TetR/AcrR family transcriptional regulator","transcription","group_03420"
"DDA3937_RS10840",6,"hypothetical protein","none","group_00932"
"DDA3937_RS10845",6,"virulence factor SrfB","function unknown","group_00052"
"DDA3937_RS10850",6,"virulence factor","function unknown","group_00112"
"DDA3937_RS11185",5,"disulfide bond formation protein DsbB","postranslational modification, protein turnover, chaperones","group_02478"
"DDA3937_RS11465",6,"EAL domain-containing protein","none","group_00153"
"DDA3937_RS11965",1,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones","group_00195"
"DDA3937_RS11970",5,"RNA chaperone ProQ","signal transduction mechanisms","group_02573"
"DDA3937_RS12390",3,"transcriptional regulator TyrR","transcription","group_00416"
"DDA3937_RS12460",1,"peptide ABC transporter ATP-binding protein SapF","defense mechanisms","group_01843"
"DDA3937_RS12525",6,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism","group_02019"
"DDA3937_RS12595",6,"transcriptional regulator SlyA","transcription","group_02767"
"DDA3937_RS12610",6,"Grx4 family monothiol glutaredoxin","postranslational modification, protein turnover, chaperones","group_02965"
"DDA3937_RS12755",4,"cysteine desulfuration protein SufE","postranslational modification, protein turnover, chaperones","group_02893"
"DDA3937_RS12760",4,"cysteine desulfurase SufS","amino acid transport and metabolism","group_00850"
"DDA3937_RS12765",4,"Fe-S cluster assembly protein SufD","postranslational modification, protein turnover, chaperones","group_00834"
"DDA3937_RS12770",3,"Fe-S cluster assembly ATPase SufC","postranslational modification, protein turnover, chaperones","group_02022"
"DDA3937_RS12775",4,"Fe-S cluster assembly protein SufB","postranslational modification, protein turnover, chaperones","group_00425"
"DDA3937_RS12780",2,"Fe-S cluster assembly scaffold SufA","postranslational modification, protein turnover, chaperones","group_02888"
"DDA3937_RS12915",6,"aspartate/tyrosine/aromatic aminotransferase","amino acid transport and metabolism","group_00906"
"DDA3937_RS13040",3,"NAD(P)/FAD-dependent oxidoreductase","energy production and conversions","group_00749"
"DDA3937_RS13060",1,"penicillin-binding protein activator LpoB","cell wall/membrane/envelope biogenesis","group_02554"
"DDA3937_RS13155",1,"23S rRNA pseudouridine(955/2504/2580) synthase RluC","translation, ribosomal structure, and biogenesis","group_01462"
"DDA3937_RS13170",2,"dihydroorotase","nucleotide transport and metabolism","group_01145"
"DDA3937_RS13180",2,"biofilm formation regulator BssS","none","group_03129"
"DDA3937_RS13300",6,"RNA polymerase sigma factor FliA","transcription","group_02116"
"DDA3937_RS13305",4,"hypothetical protein","none","group_00608"
"DDA3937_RS13310",6,"FkbM family methyltransferase","none","group_01058"
"DDA3937_RS13315",6,"Gfo/Idh/MocA family oxidoreductase","general function prediction only","group_00976"
"DDA3937_RS13320",6,"ATP-grasp domain-containing protein","nucleotide transport and metabolism","group_00885"
"DDA3937_RS13325",6,"DegT/DnrJ/EryC1/StrS family aminotransferase","cell wall/membrane/envelope biogenesis","group_00916"
"DDA3937_RS13330",6,"methyltransferase regulatory domain-containing protein",NA,NA
"DDA3937_RS13340",6,"flagellin FliC","cell motility","group_02269"
"DDA3937_RS13355",3,"flagellar protein FliT","none","group_02990"
"DDA3937_RS13360",6,"flagellar hook-basal body complex protein FliE","cell motility","group_03086"
"DDA3937_RS13365",6,"flagellar M-ring protein FliF","intracellular trafficking, secretion, and vesicular transport","group_00356"
"DDA3937_RS13370",6,"flagellar motor switch protein FliG","cell motility","group_01390"
"DDA3937_RS13375",6,"flagellar assembly protein FliH","intracellular trafficking, secretion, and vesicular transport","group_02484"
"DDA3937_RS13380",6,"flagellum-specific ATP synthase FliI","intracellular trafficking, secretion, and vesicular transport","group_00623"
"DDA3937_RS13385",6,"flagella biosynthesis chaperone FliJ","cell motility","group_02905"
"DDA3937_RS13390",6,"flagellar hook-length control protein FliK","cell motility","group_01236"
"DDA3937_RS13395",6,"flagellar basal body-associated protein FliL","cell motility","group_02968"
"DDA3937_RS13400",6,"flagellar motor switch protein FliM","cell motility","group_01218"
"DDA3937_RS13405",6,"flagellar motor switch protein FliN","intracellular trafficking, secretion, and vesicular transport","group_02850"
"DDA3937_RS13410",6,"flagellar biosynthetic protein FliO","cell motility","group_02894"
"DDA3937_RS13415",6,"flagellar type III secretion system pore protein FliP","cell motility","group_02179"
"DDA3937_RS13420",6,"flagellar biosynthesis protein FliQ","cell motility","group_03162"
"DDA3937_RS13425",6,"flagellar type III secretion system protein FliR","cell motility","group_02077"
"DDA3937_RS13430",6,"flagellar hook-associated protein FlgL","cell motility","group_01700"
"DDA3937_RS13435",6,"flagellar hook-associated protein FlgK","cell motility","group_00303"
"DDA3937_RS13440",6,"flagellar assembly peptidoglycan hydrolase FlgJ","cell wall/membrane/envelope biogenesis","group_01530"
"DDA3937_RS13445",6,"flagellar basal body P-ring protein FlgI","cell motility","group_01231"
"DDA3937_RS13450",6,"flagellar basal body L-ring protein FlgH","cell motility","group_02102"
"DDA3937_RS13455",6,"flagellar basal-body rod protein FlgG","cell motility","group_01939"
"DDA3937_RS13460",6,"flagellar basal body rod protein FlgF","cell motility","group_02071"
"DDA3937_RS13465",6,"flagellar hook protein FlgE","cell motility","group_01123"
"DDA3937_RS13470",6,"flagellar hook assembly protein FlgD","cell motility","group_02367"
"DDA3937_RS13475",6,"flagellar basal body rod protein FlgC","cell motility","group_02852"
"DDA3937_RS13480",6,"flagellar basal body rod protein FlgB","cell motility","group_02830"
"DDA3937_RS13485",6,"flagellar basal body P-ring formation protein FlgA","cell motility","group_02349"
"DDA3937_RS13495",6,"flagellar export chaperone FlgN","intracellular trafficking, secretion, and vesicular transport","group_02815"
"DDA3937_RS13505",6,"flagellar biosynthesis protein FlhA","cell motility","group_00200"
"DDA3937_RS13510",6,"flagellar type III secretion system protein FlhB","cell motility","group_00979"
"DDA3937_RS13520",6,"chemotaxis response regulator CheY","none","group_02895"
"DDA3937_RS13530",5,"protein-glutamate O-methyltransferase CheR","signal transduction mechanisms","group_01534"
"DDA3937_RS13540",6,"chemotaxis protein CheW","signal transduction mechanisms","group_02690"
"DDA3937_RS13545",6,"chemotaxis protein CheA","signal transduction mechanisms","group_00262"
"DDA3937_RS13550",6,"flagellar motor protein MotB","cell motility","group_01162"
"DDA3937_RS13555",6,"flagellar motor stator protein MotA","cell motility","group_01704"
"DDA3937_RS13560",6,"flagellar transcriptional regulator FlhC","none","group_02399"
"DDA3937_RS13565",6,"flagellar transcriptional regulator FlhD","none","group_02973"
"DDA3937_RS13930",1,"transposase",NA,NA
"DDA3937_RS13945",3,"hypothetical protein","none","group_03355"
"DDA3937_RS14340",3,"transcriptional regulator LrhA","transcription","group_01499"
"DDA3937_RS14380",6,"acetate kinase","energy production and conversions","group_00857"
"DDA3937_RS14475",2,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"DDA3937_RS14630",5,"tRNA-Arg",NA,NA
"DDA3937_RS14660",1,"enterobactin transporter EntS","carbohydrate transport and metabolism","group_00908"
"DDA3937_RS14665",2,"Fe(3+)-siderophore ABC transporter permease","inorganic ion transport and metabolism","group_01292"
"DDA3937_RS14695",1,"enterochelin esterase","inorganic ion transport and metabolism","group_00752"
"DDA3937_RS14950",3,"hypothetical protein",NA,NA
"DDA3937_RS15110",2,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism","group_01064"
"DDA3937_RS15150",1,"polyphosphate kinase 1","inorganic ion transport and metabolism","group_00176"
"DDA3937_RS15260",2,"MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit","defense mechanisms","group_01190"
"DDA3937_RS15265",1,"MdtB/MuxB family multidrug efflux RND transporter permease subunit","defense mechanisms","group_00058"
"DDA3937_RS15270",1,"multidrug efflux RND transporter permease subunit MdtC","defense mechanisms","group_00057"
"DDA3937_RS15335",4,"bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase","coenzyme transport and metabolism","group_01872"
"DDA3937_RS15485",1,"nucleoside-diphosphate kinase","nucleotide transport and metabolism","group_02786"
"DDA3937_RS15510",4,"aminopeptidase PepB","amino acid transport and metabolism","group_00701"
"DDA3937_RS15655",6,"phosphoribosylformylglycinamidine synthase","nucleotide transport and metabolism","group_00028"
"DDA3937_RS15705",6,"cyclic-guanylate-specific phosphodiesterase","signal transduction mechanisms","group_01919"
"DDA3937_RS15715",1,"holo-ACP synthase","lipid transport and metabolism","group_02916"
"DDA3937_RS15720",3,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism","group_02113"
"DDA3937_RS15745",1,"elongation factor 4","translation, ribosomal structure, and biogenesis","group_00256"
"DDA3937_RS15765",6,"RNA polymerase sigma factor RpoE","transcription","group_02448"
"DDA3937_RS15770",1,"L-aspartate oxidase","coenzyme transport and metabolism","group_00334"
"DDA3937_RS15780",3,"ATP-dependent RNA helicase SrmB","replication, recombination, and repair","group_00762"
"DDA3937_RS15955",6,"3-methyl-2-oxobutanoate hydroxymethyltransferase","coenzyme transport and metabolism","group_01856"
"DDA3937_RS15960",4,"pantoate--beta-alanine ligase","coenzyme transport and metabolism","group_01771"
"DDA3937_RS15965",6,"aspartate 1-decarboxylase","coenzyme transport and metabolism","group_02900"
"DDA3937_RS16005",1,"YacC family pilotin-like protein","none","group_02955"
"DDA3937_RS16110",6,"23S rRNA pseudouridine(1911/1915/1917) synthase RluD","translation, ribosomal structure, and biogenesis","group_01317"
"DDA3937_RS16250",1,"nicotinamide-nucleotide amidase","coenzyme transport and metabolism","group_02708"
"DDA3937_RS16530",5,"glutamate-5-semialdehyde dehydrogenase","amino acid transport and metabolism","group_01097"
"DDA3937_RS16535",3,"glutamate 5-kinase","amino acid transport and metabolism","group_01087"
"DDA3937_RS16540",3,"sigma factor-binding protein Crl","none","group_02901"
"DDA3937_RS16550",1,"YfiR family protein","none","group_02593"
"DDA3937_RS16755",4,"transcriptional repressor MprA","transcription","group_02590"
"DDA3937_RS16920",3,"sulfate adenylyltransferase subunit CysN","inorganic ion transport and metabolism","group_00577"
"DDA3937_RS16925",3,"sulfate adenylyltransferase subunit CysD","coenzyme transport and metabolism","group_01413"
"DDA3937_RS16930",3,"uroporphyrinogen-III C-methyltransferase","coenzyme transport and metabolism","group_00645"
"DDA3937_RS16940",3,"assimilatory sulfite reductase (NADPH) hemoprotein subunit","inorganic ion transport and metabolism","group_00277"
"DDA3937_RS16945",5,"NADPH-dependent assimilatory sulfite reductase flavoprotein subunit","inorganic ion transport and metabolism","group_00299"
"DDA3937_RS17015",1,"GTP diphosphokinase","transcription","group_00129"
"DDA3937_RS17110",1,"inorganic triphosphatase","inorganic ion transport and metabolism","group_00746"
"DDA3937_RS17180",3,"3'(2'),5'-bisphosphate nucleotidase CysQ","inorganic ion transport and metabolism","group_02207"
"DDA3937_RS17300",2,"YggS family pyridoxal phosphate-dependent enzyme","general function prediction only","group_02171"
"DDA3937_RS17425",6,"diaminopimelate decarboxylase","amino acid transport and metabolism","group_00775"
"DDA3937_RS17710",1,"LacI family DNA-binding transcriptional regulator","transcription","group_01286"
"DDA3937_RS17955",4,"carboxylating nicotinate-nucleotide diphosphorylase","coenzyme transport and metabolism","group_01708"
"DDA3937_RS18115",6,"2-isopropylmalate synthase","amino acid transport and metabolism","group_00407"
"DDA3937_RS18120",6,"3-isopropylmalate dehydrogenase","energy production and conversions","group_01047"
"DDA3937_RS18125",6,"3-isopropylmalate dehydratase large subunit","amino acid transport and metabolism","group_00578"
"DDA3937_RS18130",3,"3-isopropylmalate dehydratase small subunit","amino acid transport and metabolism","group_02316"
"DDA3937_RS18135",1,"siderophore-interacting protein","inorganic ion transport and metabolism","group_01852"
"DDA3937_RS18170",4,"acetolactate synthase large subunit","coenzyme transport and metabolism","group_00355"
"DDA3937_RS18190",1,"hypothetical protein","none","group_02472"
"DDA3937_RS18270",1,"Co2+/Mg2+ efflux protein ApaG","inorganic ion transport and metabolism","group_02868"
"DDA3937_RS18275",6,"bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH","signal transduction mechanisms","group_01648"
"DDA3937_RS18305",6,"carbamoyl-phosphate synthase large subunit","nucleotide transport and metabolism","group_00045"
"DDA3937_RS18310",6,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","nucleotide transport and metabolism","group_00923"
"DDA3937_RS18405",6,"threonine synthase","amino acid transport and metabolism","group_00763"
"DDA3937_RS18410",6,"homoserine kinase","amino acid transport and metabolism","group_01367"
"DDA3937_RS18415",6,"bifunctional aspartate kinase/homoserine dehydrogenase I","amino acid transport and metabolism","group_00110"
"DDA3937_RS18440",1,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase GpmB","carbohydrate transport and metabolism","group_02273"
"DDA3937_RS18480",6,"phosphoglycerate dehydrogenase","general function prediction only","group_00830"
"DDA3937_RS18490",6,"LysR family transcriptional regulator ArgP","transcription","group_01504"
"DDA3937_RS18500",1,"IclR family transcriptional regulator","transcription","group_01789"
"DDA3937_RS18610",6,"RNA chaperone Hfq","signal transduction mechanisms","group_03194"
"DDA3937_RS18655",5,"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","cell wall/membrane/envelope biogenesis","group_00544"
"DDA3937_RS18660",5,"phosphomannomutase/phosphoglucomutase","carbohydrate transport and metabolism","group_00629"
"DDA3937_RS18665",6,"GDP-mannose 4,6-dehydratase","cell wall/membrane/envelope biogenesis","group_00977"
"DDA3937_RS18670",6,"ABC transporter permease","cell wall/membrane/envelope biogenesis","group_01971"
"DDA3937_RS18675",6,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis","group_02104"
"DDA3937_RS18685",6,"WbeA","cell wall/membrane/envelope biogenesis","group_00884"
"DDA3937_RS18690",1,"glycosyltransferase","cell wall/membrane/envelope biogenesis","group_01025"
"DDA3937_RS18760",2,"MarR family transcriptional regulator","transcription","group_02750"
"DDA3937_RS19065",6,"homoserine O-succinyltransferase","amino acid transport and metabolism","group_01329"
"DDA3937_RS19135",1,"16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","translation, ribosomal structure, and biogenesis","group_00690"
"DDA3937_RS19360",2,"FKBP-type peptidyl-prolyl cis-trans isomerase","postranslational modification, protein turnover, chaperones","group_01953"
"DDA3937_RS19660",5,"4-alpha-glucanotransferase","carbohydrate transport and metabolism","group_00152"
"DDA3937_RS19665",5,"maltodextrin phosphorylase","carbohydrate transport and metabolism","group_00103"
"DDA3937_RS19875",4,"magnesium/cobalt transporter CorA","inorganic ion transport and metabolism","group_01438"
"DDA3937_RS19880",3,"DNA helicase II","replication, recombination, and repair","group_00146"
"DDA3937_RS20130",6,"ketol-acid reductoisomerase","coenzyme transport and metabolism","group_00475"
"DDA3937_RS20150",5,"threonine ammonia-lyase, biosynthetic","amino acid transport and metabolism","group_00428"
"DDA3937_RS20155",6,"dihydroxy-acid dehydratase","carbohydrate transport and metabolism","group_00242"
"DDA3937_RS20290",4,"transcription/translation regulatory transformer protein RfaH","transcription","group_02628"
"DDA3937_RS20340",6,"argininosuccinate lyase","amino acid transport and metabolism","group_00633"
"DDA3937_RS20345",5,"acetylglutamate kinase","amino acid transport and metabolism","group_01962"
"DDA3937_RS20350",6,"N-acetyl-gamma-glutamyl-phosphate reductase","amino acid transport and metabolism","group_01191"
"DDA3937_RS20355",6,"acetylornithine deacetylase","amino acid transport and metabolism","group_00844"
"DDA3937_RS20360",6,"phosphoenolpyruvate carboxylase","energy production and conversions","group_00078"
"DDA3937_RS20385",6,"HTH-type transcriptional regulator MetR","transcription","group_01387"
"DDA3937_RS20455",1,"putative lipopolysaccharide heptosyltransferase III","cell wall/membrane/envelope biogenesis","group_01099"
"DDA3937_RS20475",1,"glycosyltransferase family 4 protein","cell wall/membrane/envelope biogenesis","group_00997"
"DDA3937_RS20535",5,"orotate phosphoribosyltransferase","nucleotide transport and metabolism","group_02337"
"DDA3937_RS20560",3,"L-Ala-D/L-Glu epimerase","general function prediction only","group_01415"
"DDA3937_RS20645",1,"YicC family protein","function unknown","group_01744"
"DDA3937_RS20740",1,"type III PLP-dependent enzyme","amino acid transport and metabolism","group_00842"
"DDA3937_RS20815",6,"two-component system sensor histidine kinase VfmI","none","group_00679"
"DDA3937_RS20820",6,"two-component system response regulator VfmH","signal transduction mechanisms","group_00614"
"DDA3937_RS20830",6,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis","group_02161"
"DDA3937_RS20835",6,"AraC family transcriptional regulator VfmE","transcription","group_02401"
"DDA3937_RS20885",2,"MarR family transcriptional regulator","transcription","group_02627"
"DDA3937_RS20890",6,"argininosuccinate synthase","amino acid transport and metabolism","group_00579"
"DDA3937_RS21310",1,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE","translation, ribosomal structure, and biogenesis","group_00681"
"DDA3937_RS21370",2,"lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase","cell wall/membrane/envelope biogenesis","group_00312"
