locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
DZA65_RS00380	DZA65_RS00380	1	NZ_CP031560	89660	94126	+		amino acid adenylation domain-containing protein
DZA65_RS00385	DZA65_RS00385	1	NZ_CP031560	94543	95475	+		3-oxoacyl-ACP synthase
DZA65_RS00390	DZA65_RS00390	1	NZ_CP031560	95465	95755	+		acyl carrier protein
DZA65_RS00395	DZA65_RS00395	1	NZ_CP031560	95745	96356	+		VfmB protein
DZA65_RS00400	DZA65_RS00400	1	NZ_CP031560	96378	97733	+		multidrug transporter
DZA65_RS00405	DZA65_RS00405	1	NZ_CP031560	97720	98808	+		alpha/beta hydrolase
DZA65_RS00410	DZA65_RS00410	1	NZ_CP031560	98870	99433	-		helix-turn-helix transcriptional regulator
DZA65_RS00415	DZA65_RS00415	1	NZ_CP031560	100066	100773	+		ABC transporter ATP-binding protein
DZA65_RS00420	DZA65_RS00420	1	NZ_CP031560	100778	103213	+		FtsX-like permease family protein
DZA65_RS00425	DZA65_RS00425	1	NZ_CP031560	103418	104821	+		sigma-54-dependent Fis family transcriptional regulator
DZA65_RS00430	DZA65_RS00430	1	NZ_CP031560	104814	106133	+		histidine kinase
DZA65_RS00435	DZA65_RS00435	1	NZ_CP031560	106090	106860	+		4'-phosphopantetheinyl transferase superfamily protein
DZA65_RS00440	DZA65_RS00440	1	NZ_CP031560	106848	107495	-		hypothetical protein
DZA65_RS00445	DZA65_RS00445	1	NZ_CP031560	107778	108716	-		3-oxoacyl-ACP synthase
DZA65_RS00450	DZA65_RS00450	1	NZ_CP031560	108772	109569	-		hypothetical protein
DZA65_RS00455	DZA65_RS00455	1	NZ_CP031560	109613	110764	-		acyl-CoA/acyl-ACP dehydrogenase
DZA65_RS00460	DZA65_RS00460	1	NZ_CP031560	110865	111788	-		3-oxoacyl-ACP synthase
DZA65_RS00465	DZA65_RS00465	1	NZ_CP031560	111864	112376	-		hypothetical protein
DZA65_RS00470	DZA65_RS00470	1	NZ_CP031560	112378	113511	-		acyl-CoA dehydrogenase
DZA65_RS00475	DZA65_RS00475	1	NZ_CP031560	113508	113939	-		glyoxalase
DZA65_RS00480	DZA65_RS00480	1	NZ_CP031560	114037	115560	-		AMP-binding protein
DZA65_RS00485	DZA65_RS00485	1	NZ_CP031560	115541	117085	-		AMP-binding protein
DZA65_RS00490	DZA65_RS00490	1	NZ_CP031560	117082	117393	-		acyl carrier protein
DZA65_RS00495	DZA65_RS00495	1	NZ_CP031560	117399	118982	-		acyl--CoA ligase
DZA65_RS00500	DZA65_RS00500	1	NZ_CP031560	118992	119906	-		hypothetical protein
DZA65_RS00505	DZA65_RS00505	1	NZ_CP031560	119903	121246	-		type III PLP-dependent enzyme
DZA65_RS00510	DZA65_RS00510	1	NZ_CP031560	121239	121547	-		hypothetical protein
DZA65_RS00515	DZA65_RS00515	1	NZ_CP031560	122315	123067	+		LuxR family transcriptional regulator
DZA65_RS00520	DZA65_RS00520	1	NZ_CP031560	123033	123671	-		acyl-homoserine-lactone synthase
DZA65_RS00525	DZA65_RS00525	1	NZ_CP031560	123766	123993	-		hypothetical protein
DZA65_RS00530	DZA65_RS00530	1	NZ_CP031560	124116	124364	+		DUF1471 domain-containing protein
DZA65_RS00535	DZA65_RS00535	1	NZ_CP031560	124702	125055	-		helix-turn-helix transcriptional regulator
DZA65_RS00540	DZA65_RS00540	1	NZ_CP031560	125154	125411	+		transcriptional regulator
DZA65_RS00545	DZA65_RS00545	1	NZ_CP031560	125419	125751	-		helix-turn-helix transcriptional regulator
DZA65_RS00550	DZA65_RS00550	1	NZ_CP031560	126251	127288	-		IS630 family transposase
DZA65_RS00555	DZA65_RS00555	1	NZ_CP031560	127555	128598	+		hypothetical protein
DZA65_RS00560	DZA65_RS00560	1	NZ_CP031560	128600	130171	+		hypothetical protein
DZA65_RS00565	DZA65_RS00565	1	NZ_CP031560	130329	131759	+		hypothetical protein
DZA65_RS00570	DZA65_RS00570	7	NZ_CP031560	131942	133050	-		IS3 family transposase
DZA65_RS00575	DZA65_RS00575	1	NZ_CP031560	133395	134258	-		YicC family protein
DZA65_RS00580	DZA65_RS00580	1	NZ_CP031560	134388	135296	-		LysR family transcriptional regulator
DZA65_RS00585	DZA65_RS00585	1	NZ_CP031560	135425	136507	-		membrane dipeptidase
DZA65_RS00590	DZA65_RS00590	1	NZ_CP031560	136707	138302	+		ABC transporter substrate-binding protein
DZA65_RS00595	DZA65_RS00595	1	NZ_CP031560	138302	139312	+		ABC transporter permease
DZA65_RS00600	DZA65_RS00600	1	NZ_CP031560	139309	140211	+		ABC transporter permease
DZA65_RS00605	DZA65_RS00605	1	NZ_CP031560	140212	141039	+		ABC transporter ATP-binding protein
DZA65_RS00610	DZA65_RS00610	1	NZ_CP031560	141039	141779	+		ABC transporter ATP-binding protein
DZA65_RS00615	DZA65_RS00615	1	NZ_CP031560	141776	143287	+		serine hydrolase
DZA65_RS00620	DZA65_RS00620	1	NZ_CP031560	143523	144584	-		FkbM family methyltransferase
DZA65_RS00625	DZA65_RS00625	1	NZ_CP031560	145173	146162	-		acyltransferase
DZA65_RS00630	DZA65_RS00630	1	NZ_CP031560	146700	148025	-		sulfotransferase family 2 domain-containing protein
DZA65_RS00635	DZA65_RS00635	1	NZ_CP031560	148521	148991	+		hypothetical protein
DZA65_RS00640	DZA65_RS00640	1	NZ_CP031560	149119	149883	+		hypothetical protein
DZA65_RS00645	DZA65_RS00645	1	NZ_CP031560	149903	150667	+		hypothetical protein
DZA65_RS00650	DZA65_RS00650	7	NZ_CP031560	150687	151449	+		hypothetical protein
DZA65_RS00655	DZA65_RS00655	1	NZ_CP031560	151539	152240	+		ABC transporter ATP-binding protein
DZA65_RS00660	DZA65_RS00660	1	NZ_CP031560	152209	153453	+		ABC transporter permease
DZA65_RS00665	DZA65_RS00665	1	NZ_CP031560	153446	154927	+		TolC family protein
DZA65_RS00670	DZA65_RS00670	1	NZ_CP031560	154920	156182	+		HlyD family efflux transporter periplasmic adaptor subunit
DZA65_RS00675	DZA65_RS00675	1	NZ_CP031560	156164	157132	-		isoaspartyl peptidase/L-asparaginase
DZA65_RS00680	DZA65_RS00680	1	NZ_CP031560	157160	157981	-		M55 family metallopeptidase
DZA65_RS00685	DZA65_RS00685	1	NZ_CP031560	158014	159069	-		P1 family peptidase
DZA65_RS00690	DZA65_RS00690	1	NZ_CP031560	159081	159980	-		ABC transporter permease subunit
DZA65_RS00695	DZA65_RS00695	1	NZ_CP031560	159989	160909	-		ABC transporter permease subunit
DZA65_RS00700	DZA65_RS00700	1	NZ_CP031560	160927	162483	-		glutathione ABC transporter substrate-binding protein
DZA65_RS00705	DZA65_RS00705	1	NZ_CP031560	162717	164615	-		ABC transporter ATP-binding protein
DZA65_RS00710	DZA65_RS00710	1	NZ_CP031560	164636	165601	-		L-Ala-D/L-Glu epimerase
DZA65_RS00715	DZA65_RS00715	1	NZ_CP031560	165606	166613	-		DUF1611 domain-containing protein
DZA65_RS00720	DZA65_RS00720	1	NZ_CP031560	166862	167194	-		DUF202 domain-containing protein
DZA65_RS00725	DZA65_RS00725	1	NZ_CP031560	167201	167593	-		DUF202 domain-containing protein
DZA65_RS00730	DZA65_RS00730	1	NZ_CP031560	167772	168488	+		ribonuclease PH
DZA65_RS00735	DZA65_RS00735	1	NZ_CP031560	168601	169242	+		orotate phosphoribosyltransferase
DZA65_RS00740	DZA65_RS00740	1	NZ_CP031560	169291	169887	-		nucleoid occlusion factor SlmA
DZA65_RS00745	DZA65_RS00745	1	NZ_CP031560	169996	170454	-		dUTP diphosphatase
DZA65_RS00750	DZA65_RS00750	1	NZ_CP031560	170423	171622	-		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
DZA65_RS00755	DZA65_RS00755	1	NZ_CP031560	171916	172581	+		JAB domain-containing protein
DZA65_RS00760	DZA65_RS00760	1	NZ_CP031560	172820	173056	+		50S ribosomal protein L28
DZA65_RS00765	DZA65_RS00765	1	NZ_CP031560	173068	173235	+		50S ribosomal protein L33
DZA65_RS00770	DZA65_RS00770	1	NZ_CP031560	173311	174120	+		bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase
DZA65_RS00775	DZA65_RS00775	1	NZ_CP031560	174181	174660	-		pantetheine-phosphate adenylyltransferase
DZA65_RS00780	DZA65_RS00780	1	NZ_CP031560	174650	175441	-		glycosyltransferase family 2 protein
DZA65_RS00785	DZA65_RS00785	1	NZ_CP031560	175441	176718	-		3-deoxy-D-manno-octulosonic acid transferase
DZA65_RS00790	DZA65_RS00790	1	NZ_CP031560	177267	178391	+		glycosyltransferase family 4 protein
DZA65_RS00795	DZA65_RS00795	1	NZ_CP031560	178388	179494	+		glycosyltransferase family 9 protein
DZA65_RS00800	DZA65_RS00800	1	NZ_CP031560	179494	180702	+		O-antigen ligase family protein
DZA65_RS00805	DZA65_RS00805	1	NZ_CP031560	180854	181972	-		glycosyltransferase family 4 protein
DZA65_RS00810	DZA65_RS00810	1	NZ_CP031560	181969	183054	-		putative lipopolysaccharide heptosyltransferase III
DZA65_RS00815	DZA65_RS00815	1	NZ_CP031560	183084	184064	-		lipopolysaccharide heptosyltransferase RfaC
DZA65_RS00820	DZA65_RS00820	1	NZ_CP031560	184061	185113	-		ADP-heptose--LPS heptosyltransferase RfaF
DZA65_RS00825	DZA65_RS00825	1	NZ_CP031560	185144	186076	-		ADP-glyceromanno-heptose 6-epimerase
DZA65_RS00830	DZA65_RS00830	1	NZ_CP031560	186308	187297	-		divergent polysaccharide deacetylase family protein
DZA65_RS00835	DZA65_RS00835	1	NZ_CP031560	187300	188574	-		murein hydrolase activator EnvC
DZA65_RS00840	DZA65_RS00840	1	NZ_CP031560	188801	189232	+		rhodanese-like domain-containing protein
DZA65_RS00845	DZA65_RS00845	1	NZ_CP031560	189332	189802	+		protein-export chaperone SecB
DZA65_RS00850	DZA65_RS00850	1	NZ_CP031560	189802	190821	+		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
DZA65_RS00855	DZA65_RS00855	1	NZ_CP031560	190940	191761	+		serine O-acetyltransferase
DZA65_RS00860	DZA65_RS00860	1	NZ_CP031560	192124	192726	+		phospholipid:lipid A palmitoyltransferase
DZA65_RS00865	DZA65_RS00865	1	NZ_CP031560	192837	193736	+		DMT family transporter
DZA65_RS00870	DZA65_RS00870	1	NZ_CP031560	193639	194577	-		HTH-type transcriptional regulator MetR
DZA65_RS00875	DZA65_RS00875	1	NZ_CP031560	194682	196952	+		5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
DZA65_RS00880	DZA65_RS00880	1	NZ_CP031560	197142	197969	-		dienelactone hydrolase family protein
DZA65_RS00885	DZA65_RS00885	1	NZ_CP031560	198259	199020	+		uridine phosphorylase
DZA65_RS00890	DZA65_RS00890	1	NZ_CP031560	199281	200063	+		tyrosine-protein phosphatase
DZA65_RS00895	DZA65_RS00895	1	NZ_CP031560	200126	202765	-		phosphoenolpyruvate carboxylase
DZA65_RS00900	DZA65_RS00900	1	NZ_CP031560	203066	205195	-		ATP-binding cassette domain-containing protein
DZA65_RS00905	DZA65_RS00905	1	NZ_CP031560	205176	206270	-		ThiF family adenylyltransferase
DZA65_RS00910	DZA65_RS00910	1	NZ_CP031560	206263	207396	-		ThiF family adenylyltransferase
DZA65_RS00915	DZA65_RS00915	1	NZ_CP031560	207451	207645	-		hypothetical protein
DZA65_RS00920	DZA65_RS00920	1	NZ_CP031560	208047	210521	+		hypothetical protein
DZA65_RS00925	DZA65_RS00925	1	NZ_CP031560	210533	213097	+		hypothetical protein
DZA65_RS00930	DZA65_RS00930	1	NZ_CP031560	213166	214317	-		acetylornithine deacetylase
DZA65_RS00935	DZA65_RS00935	1	NZ_CP031560	214532	215536	+		N-acetyl-gamma-glutamyl-phosphate reductase
DZA65_RS00940	DZA65_RS00940	1	NZ_CP031560	215561	216334	+		acetylglutamate kinase
DZA65_RS00945	DZA65_RS00945	1	NZ_CP031560	216451	217824	+		argininosuccinate lyase
DZA65_RS00950	DZA65_RS00950	1	NZ_CP031560	218013	219545	+		DNA recombination protein RmuC
DZA65_RS00955	DZA65_RS00955	1	NZ_CP031560	219680	220435	+		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE
DZA65_RS00960	DZA65_RS00960	1	NZ_CP031560	220449	221057	+		SCP2 domain-containing protein
DZA65_RS00965	DZA65_RS00965	1	NZ_CP031560	221054	222691	+		ubiquinone biosynthesis regulatory protein kinase UbiB
DZA65_RS00970	DZA65_RS00970	1	NZ_CP031560	222772	223026	+		twin-arginine translocase subunit TatA
DZA65_RS00975	DZA65_RS00975	1	NZ_CP031560	223030	223602	+		Sec-independent protein translocase subunit TatB
DZA65_RS00980	DZA65_RS00980	1	NZ_CP031560	223606	224373	+		Sec-independent protein translocase subunit TatC
DZA65_RS00985	DZA65_RS00985	1	NZ_CP031560	224487	225281	+		3'-5' ssDNA/RNA exonuclease TatD
DZA65_RS00990	DZA65_RS00990	1	NZ_CP031560	225284	226306	+		porphobilinogen synthase
DZA65_RS00995	DZA65_RS00995	1	NZ_CP031560	226338	226826	-		transcription/translation regulatory transformer protein RfaH
DZA65_RS01000	DZA65_RS01000	1	NZ_CP031560	227039	228526	+		4-hydroxy-3-polyprenylbenzoate decarboxylase
DZA65_RS01005	DZA65_RS01005	1	NZ_CP031560	228576	229277	+		NAD(P)H-flavin reductase
DZA65_RS01010	DZA65_RS01010	1	NZ_CP031560	229372	231045	-		FAD-dependent oxidoreductase
DZA65_RS01015	DZA65_RS01015	1	NZ_CP031560	231184	231501	+		helix-turn-helix transcriptional regulator
DZA65_RS01020	DZA65_RS01020	1	NZ_CP031560	231538	231966	+		YeeE/YedE family protein
DZA65_RS01025	DZA65_RS01025	1	NZ_CP031560	231992	232420	+		membrane protein
DZA65_RS01030	DZA65_RS01030	1	NZ_CP031560	232473	233636	-		acetyl-CoA C-acyltransferase FadA
DZA65_RS01035	DZA65_RS01035	1	NZ_CP031560	233649	235838	-		fatty acid oxidation complex subunit alpha FadB
DZA65_RS01040	DZA65_RS01040	1	NZ_CP031560	236020	237351	+		Xaa-Pro dipeptidase
DZA65_RS01045	DZA65_RS01045	1	NZ_CP031560	237351	237965	+		IMPACT family protein
DZA65_RS01050	DZA65_RS01050	1	NZ_CP031560	238007	239458	+		Trk system potassium transporter TrkH
DZA65_RS01055	DZA65_RS01055	1	NZ_CP031560	239477	240016	+		menaquinone-dependent protoporphyrinogen IX dehydrogenase
DZA65_RS01065	DZA65_RS01065	2	NZ_CP031560	240390	241937	+		16S ribosomal RNA
DZA65_RS01070	DZA65_RS01070	5	NZ_CP031560	242020	242095	+		tRNA-Glu
DZA65_RS01075	DZA65_RS01075	2	NZ_CP031560	242281	245304	+		23S ribosomal RNA
DZA65_RS01080	DZA65_RS01080	2	NZ_CP031560	245407	245522	+		5S ribosomal RNA
DZA65_RS01085	DZA65_RS01085	1	NZ_CP031560	245800	246837	+		UDP-N-acetylmuramate dehydrogenase
DZA65_RS01090	DZA65_RS01090	1	NZ_CP031560	246834	247793	+		bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
DZA65_RS01095	DZA65_RS01095	1	NZ_CP031560	247820	248770	-		type I pantothenate kinase
DZA65_RS01100	DZA65_RS01100	5	NZ_CP031560	249453	249528	+		tRNA-Thr
DZA65_RS01105	DZA65_RS01105	5	NZ_CP031560	249545	249629	+		tRNA-Tyr
DZA65_RS01110	DZA65_RS01110	5	NZ_CP031560	249765	249839	+		tRNA-Gly
DZA65_RS01115	DZA65_RS01115	5	NZ_CP031560	249849	249924	+		tRNA-Thr
DZA65_RS01120	DZA65_RS01120	1	NZ_CP031560	250031	251215	+		elongation factor Tu
DZA65_RS01125	DZA65_RS01125	1	NZ_CP031560	251450	251833	+		preprotein translocase subunit SecE
DZA65_RS01130	DZA65_RS01130	1	NZ_CP031560	251835	252380	+		transcription termination/antitermination protein NusG
DZA65_RS01135	DZA65_RS01135	1	NZ_CP031560	252532	252960	+		50S ribosomal protein L11
DZA65_RS01140	DZA65_RS01140	1	NZ_CP031560	252964	253668	+		50S ribosomal protein L1
DZA65_RS01145	DZA65_RS01145	1	NZ_CP031560	254006	254503	+		50S ribosomal protein L10
DZA65_RS01150	DZA65_RS01150	1	NZ_CP031560	254570	254935	+		50S ribosomal protein L7/L12
DZA65_RS01160	DZA65_RS01160	1	NZ_CP031560	255259	259287	+		DNA-directed RNA polymerase subunit beta
DZA65_RS01165	DZA65_RS01165	1	NZ_CP031560	259395	263618	+		DNA-directed RNA polymerase subunit beta'
DZA65_RS01170	DZA65_RS01170	1	NZ_CP031560	263862	264959	+		DUF1176 domain-containing protein
DZA65_RS01175	DZA65_RS01175	1	NZ_CP031560	265235	265414	-		DUF1127 domain-containing protein
DZA65_RS01180	DZA65_RS01180	1	NZ_CP031560	265674	265865	-		DUF1127 domain-containing protein
DZA65_RS22770	DZA65_RS22770	1	NZ_CP031560	265890	266033	+		hypothetical protein
DZA65_RS01185	DZA65_RS01185	1	NZ_CP031560	266030	267460	+		PLP-dependent aminotransferase family protein
DZA65_RS01190	DZA65_RS01190	1	NZ_CP031560	267556	268704	-		2-iminoacetate synthase ThiH
DZA65_RS01195	DZA65_RS01195	1	NZ_CP031560	268704	269483	-		thiazole synthase
DZA65_RS01200	DZA65_RS01200	1	NZ_CP031560	269485	269685	-		sulfur carrier protein ThiS
DZA65_RS01205	DZA65_RS01205	1	NZ_CP031560	269682	270431	-		HesA/MoeB/ThiF family protein
DZA65_RS01210	DZA65_RS01210	1	NZ_CP031560	270433	271068	-		thiamine phosphate synthase
DZA65_RS01215	DZA65_RS01215	1	NZ_CP031560	271068	273035	-		phosphomethylpyrimidine synthase ThiC
DZA65_RS01220	DZA65_RS01220	1	NZ_CP031560	273367	273819	-		Rsd/AlgQ family anti-sigma factor
DZA65_RS01225	DZA65_RS01225	1	NZ_CP031560	273925	274698	+		NAD(+) diphosphatase
DZA65_RS01230	DZA65_RS01230	1	NZ_CP031560	274754	275827	+		uroporphyrinogen decarboxylase
DZA65_RS01235	DZA65_RS01235	1	NZ_CP031560	275824	276501	+		deoxyribonuclease V
DZA65_RS01240	DZA65_RS01240	1	NZ_CP031560	276593	277183	+		YjaG family protein
DZA65_RS01245	DZA65_RS01245	1	NZ_CP031560	277495	277767	+		DNA-binding protein HU-alpha
DZA65_RS01250	DZA65_RS01250	1	NZ_CP031560	277772	278500	+		DUF1481 domain-containing protein
DZA65_RS01255	DZA65_RS01255	1	NZ_CP031560	278583	279872	-		phosphoribosylamine--glycine ligase
DZA65_RS01260	DZA65_RS01260	1	NZ_CP031560	279888	281477	-		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
DZA65_RS01265	DZA65_RS01265	2	NZ_CP031560	282076	283623	+		16S ribosomal RNA
DZA65_RS01270	DZA65_RS01270	5	NZ_CP031560	283706	283781	+		tRNA-Glu
DZA65_RS01275	DZA65_RS01275	2	NZ_CP031560	283967	286990	+		23S ribosomal RNA
DZA65_RS01280	DZA65_RS01280	2	NZ_CP031560	287093	287208	+		5S ribosomal RNA
DZA65_RS01285	DZA65_RS01285	1	NZ_CP031560	287489	288250	-		amino acid ABC transporter ATP-binding protein
DZA65_RS01290	DZA65_RS01290	1	NZ_CP031560	288259	289347	-		amino acid ABC transporter permease
DZA65_RS01295	DZA65_RS01295	1	NZ_CP031560	289363	290541	-		amino acid ABC transporter permease
DZA65_RS01300	DZA65_RS01300	1	NZ_CP031560	290613	291638	-		amino acid ABC transporter substrate-binding protein
DZA65_RS01305	DZA65_RS01305	1	NZ_CP031560	292157	292822	-		amino acid ABC transporter permease
DZA65_RS01310	DZA65_RS01310	1	NZ_CP031560	292848	293618	-		amino acid ABC transporter substrate-binding protein
DZA65_RS01315	DZA65_RS01315	1	NZ_CP031560	293863	295005	+		endonuclease
